TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,LOGICAL_NAME,TABLE_TYPE,DESCRIPTION,TAG
172.16.0.13/cobol_analysis_db,public,dashboard_master,updated_at,,13,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,document_master,document_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,document_master,document_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,document_master,section_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,document_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,document_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,document_master,display_order,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,document_master,template_path,,7,,YES,text,,
172.16.0.13/cobol_analysis_db,public,document_master,format_config,,8,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,document_master,description,,9,,YES,text,,
172.16.0.13/cobol_analysis_db,public,document_master,is_active,,10,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,document_master,created_at,,11,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,document_master,updated_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,environment_master,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,environment_master,env_key,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,environment_master,env_value,,3,,YES,text,,
172.16.0.13/cobol_analysis_db,public,environment_master,env_description,,4,,YES,text,,
172.16.0.13/cobol_analysis_db,public,environment_master,update_user,,5,,YES,character varying(50),,
172.16.0.13/cobol_analysis_db,public,environment_master,created_at,,6,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,environment_master,updated_at,,7,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
